Log-ratio,p-value,minFDR,Nitab v4.5 Gene,Gene,Measure,Description
4.483352661,2.28003E-08,1.65274E-05,Nitab4.5_0008803g0030,Nitab4.5_0008803g0030,Nitab4.5_0008803g0030,Thioredoxin-like fold
4.38734898,1.3265E-05,0.000312027,Nitab4.5_0002624g0010,Nitab4.5_0002624g0010,Nitab4.5_0002624g0010,Oleosin
4.303680301,0.000102448,0.001121156,Nitab4.5_0000856g0010,Nitab4.5_0000856g0010,Nitab4.5_0000856g0010,Unknown
4.19970274,1.2317E-08,1.32291E-05,Nitab4.5_0002649g0010,Nitab4.5_0002649g0010,Nitab4.5_0002649g0010,Aldolase-type TIM barrel
4.18810454,0.000108801,0.001168941,Nitab4.5_0000350g0260,Nitab4.5_0000350g0260,Nitab4.5_0000350g0260,Protein of unknown function DUF4228
4.163452744,1.42276E-06,9.14294E-05,Nitab4.5_0002251g0110,Nitab4.5_0002251g0110,Nitab4.5_0002251g0110,Unknown
4.149378061,2.38858E-06,0.000120539,Nitab4.5_0006730g0010,Nitab4.5_0006730g0010,Nitab4.5_0006730g0010,Heavy metal-associated domain
4.143585682,1.39162E-07,3.33791E-05,Nitab4.5_0000305g0200,Nitab4.5_0000305g0200,Nitab4.5_0000305g0200,Glycoside hydrolase-type carbohydrate-binding
4.072213173,5.15511E-06,0.000181112,Nitab4.5_0003830g0030,Nitab4.5_0003830g0030,Nitab4.5_0003830g0030,Unknown
4.068652391,0.000108369,0.001166706,Nitab4.5_0000754g0140,Nitab4.5_0000754g0140,Nitab4.5_0000754g0140,Proteinase inhibitor I13
3.984008312,1.54463E-07,3.47239E-05,Nitab4.5_0000381g0130,Nitab4.5_0000381g0130,Nitab4.5_0000381g0130,DNA-binding WRKY
3.950641632,0.000106402,0.001151517,Nitab4.5_0000057g0320,Nitab4.5_0000057g0320,Nitab4.5_0000057g0320,Unknown
3.8834939,5.68547E-07,5.98925E-05,Nitab4.5_0001711g0050,Nitab4.5_0001711g0050,Nitab4.5_0001711g0050,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
3.815140724,2.8557E-09,1.11816E-05,Nitab4.5_0000312g0240,Nitab4.5_0000312g0240,Nitab4.5_0000312g0240,Hydrophobic seed protein
3.774757564,2.53751E-05,0.000459492,Nitab4.5_0000463g0070,Nitab4.5_0000463g0070,Nitab4.5_0000463g0070,Protein phosphatase 2C (PP2C)-like domain
3.738091707,0.000514042,0.003499764,Nitab4.5_0004841g0020,Nitab4.5_0004841g0020,Nitab4.5_0004841g0020,Unknown
3.734966338,5.2077E-06,0.000182239,Nitab4.5_0000319g0290,Nitab4.5_0000319g0290,Nitab4.5_0000319g0290,Homeodomain-like
3.728758335,1.81443E-06,0.000103779,Nitab4.5_0000365g0010,Nitab4.5_0000365g0010,Nitab4.5_0000365g0010,Unknown
3.699543715,1.59147E-06,9.74333E-05,Nitab4.5_0003870g0010,Nitab4.5_0003870g0010,Nitab4.5_0003870g0010,Phosphatidylethanolamine-binding protein PEBP
3.635601521,3.68561E-05,0.000574366,Nitab4.5_0006477g0060,Nitab4.5_0006477g0060,Nitab4.5_0006477g0060,Unknown
3.635204792,3.4503E-06,0.000145144,Nitab4.5_0002218g0010,Nitab4.5_0002218g0010,Nitab4.5_0002218g0010,Glycoside hydrolase
3.633979797,3.6252E-05,0.00056799,Nitab4.5_0000680g0010,Nitab4.5_0000680g0010,Nitab4.5_0000680g0010,Cytochrome P450
3.574896574,0.00254405,0.011764367,Nitab4.5_0000170g0020,Nitab4.5_0000170g0020,Nitab4.5_0000170g0020,Unknown
3.574512601,9.67907E-07,7.55584E-05,Nitab4.5_0001608g0020,Nitab4.5_0001608g0020,Nitab4.5_0001608g0020,PMR5 N-terminal domain
3.494123459,2.82414E-07,4.28747E-05,Nitab4.5_0003280g0040,Nitab4.5_0003280g0040,Nitab4.5_0003280g0040,Glycoside hydrolase
3.475168109,6.18549E-05,0.000804858,Nitab4.5_0000849g0010,Nitab4.5_0000849g0010,Nitab4.5_0000849g0010,SWEET sugar transporter
3.429718852,1.22096E-06,8.50371E-05,Nitab4.5_0001646g0050,Nitab4.5_0001646g0050,Nitab4.5_0001646g0050,Aminotransferase
3.429441452,1.94529E-05,0.000391251,Nitab4.5_0001591g0160,Nitab4.5_0001591g0160,Nitab4.5_0001591g0160,Protein of unknown function DUF1997
3.369582772,0.002151413,0.01031673,Nitab4.5_0000208g0240,Nitab4.5_0000208g0240,Nitab4.5_0000208g0240,Unknown
3.358479023,2.18833E-07,3.90951E-05,Nitab4.5_0001636g0020,Nitab4.5_0001636g0020,Nitab4.5_0001636g0020,Isochorismatase-like
3.329525113,0.004575957,0.018609277,Nitab4.5_0000647g0080,Nitab4.5_0000647g0080,Nitab4.5_0000647g0080,Unknown
3.279947162,0.000178348,0.001647699,Nitab4.5_0001794g0120,Nitab4.5_0001794g0120,Nitab4.5_0001794g0120,Organ specific protein
3.267950751,0.001009823,0.005808568,Nitab4.5_0000742g0110,Nitab4.5_0000742g0110,Nitab4.5_0000742g0110,DnaJ domain
3.263575792,8.27698E-05,0.000968666,Nitab4.5_0000028g0180,Nitab4.5_0000028g0180,Nitab4.5_0000028g0180,Cupredoxin
3.247819662,7.86037E-06,0.000234616,Nitab4.5_0006318g0040,Nitab4.5_0006318g0040,Nitab4.5_0006318g0040,Unknown
3.193132877,2.2342E-07,3.94168E-05,Nitab4.5_0000014g0440,Nitab4.5_0000014g0440,Nitab4.5_0000014g0440,Ninja
3.183371127,0.000341282,0.002602959,Nitab4.5_0000278g0010,Nitab4.5_0000278g0010,Nitab4.5_0000278g0010,Alpha crystallin/Hsp20 domain
3.180249989,0.000165278,0.001565472,Nitab4.5_0001842g0070,Nitab4.5_0001842g0070,Nitab4.5_0001842g0070,PAR1
3.179917812,2.66359E-06,0.000128195,Nitab4.5_0000180g0140,Nitab4.5_0000180g0140,Nitab4.5_0000180g0140,Glycoside hydrolase
3.175505161,3.14871E-10,1.11816E-05,Nitab4.5_0000980g0290,Nitab4.5_0000980g0290,Nitab4.5_0000980g0290,Unknown
3.112489462,9.10306E-09,1.32291E-05,Nitab4.5_0001737g0090,Nitab4.5_0001737g0090,Nitab4.5_0001737g0090,Proton-dependent oligopeptide transporter family
3.095525026,9.50822E-09,1.32291E-05,Nitab4.5_0000003g0900,Nitab4.5_0000003g0900,Nitab4.5_0000003g0900,Zinc finger
3.086423755,1.66636E-06,9.89759E-05,Nitab4.5_0002079g0020,Nitab4.5_0002079g0020,Nitab4.5_0002079g0020,Cleavage/polyadenylation specificity factor subunit 5
3.079834938,0.017052576,0.053743607,Nitab4.5_0002579g0060,Nitab4.5_0002579g0060,Nitab4.5_0002579g0060,Concanavalin A-like lectin/glucanases superfamily
3.043951511,5.51343E-05,0.000749737,Nitab4.5_0004841g0050,Nitab4.5_0004841g0050,Nitab4.5_0004841g0050,Unknown
3.00578928,5.42212E-05,0.000741163,Nitab4.5_0003001g0010,Nitab4.5_0003001g0010,Nitab4.5_0003001g0010,Unknown
3.003172815,0.012728323,0.042287654,Nitab4.5_0002996g0020,Nitab4.5_0002996g0020,Nitab4.5_0002996g0020,Ribosomal protein L27e
3.001749739,5.18992E-05,0.000720926,Nitab4.5_0000293g0020,Nitab4.5_0000293g0020,Nitab4.5_0000293g0020,Protein of unknown function DUF295
2.974426031,0.000110103,0.001177577,Nitab4.5_0007088g0020,Nitab4.5_0007088g0020,Nitab4.5_0007088g0020,LysM domain
2.96503076,0.000119597,0.001249062,Nitab4.5_0001356g0100,Nitab4.5_0001356g0100,Nitab4.5_0001356g0100,LURP1-like domain
2.963276744,0.000105254,0.001142925,Nitab4.5_0001751g0100,Nitab4.5_0001751g0100,Nitab4.5_0001751g0100,KNOX2
2.952656865,3.52523E-07,4.63751E-05,Nitab4.5_0001356g0070,Nitab4.5_0001356g0070,Nitab4.5_0001356g0070,LURP1-like domain
2.924625792,1.74706E-05,0.000368174,Nitab4.5_0002534g0040,Nitab4.5_0002534g0040,Nitab4.5_0002534g0040,Heavy metal-associated domain
2.923890829,2.42553E-05,0.000450589,Nitab4.5_0000564g0150,Nitab4.5_0000564g0150,Nitab4.5_0000564g0150,Unknown
2.919909835,4.00679E-05,0.000608453,Nitab4.5_0000171g0190,Nitab4.5_0000171g0190,Nitab4.5_0000171g0190,DNA-binding WRKY
2.915395021,6.06825E-05,0.000795051,Nitab4.5_0000286g0060,Nitab4.5_0000286g0060,Nitab4.5_0000286g0060,Alpha crystallin/Hsp20 domain
2.893026471,4.75351E-06,0.000174062,Nitab4.5_0001583g0020,Nitab4.5_0001583g0020,Nitab4.5_0001583g0020,Alpha/beta hydrolase fold-1
2.889845014,2.20136E-07,3.90951E-05,Nitab4.5_0003110g0010,Nitab4.5_0003110g0010,Nitab4.5_0003110g0010,Unknown
2.880670786,2.42617E-06,0.000121373,Nitab4.5_0000621g0030,Nitab4.5_0000621g0030,Nitab4.5_0000621g0030,Thioredoxin-like fold
2.875875056,0.000851416,0.005122196,Nitab4.5_0000185g0100,Nitab4.5_0000185g0100,Nitab4.5_0000185g0100,Oleosin
2.862748802,0.004734698,0.01912564,Nitab4.5_0001621g0060,Nitab4.5_0001621g0060,Nitab4.5_0001621g0060,Unknown
2.861987233,2.6916E-06,0.000128672,Nitab4.5_0004588g0030,Nitab4.5_0004588g0030,Nitab4.5_0004588g0030,VQ
2.840118527,2.41464E-07,4.05801E-05,Nitab4.5_0000055g0100,Nitab4.5_0000055g0100,Nitab4.5_0000055g0100,Saccharopine dehydrogenase / Homospermidine synthase
2.833648801,7.16376E-06,0.000223214,Nitab4.5_0003294g0030,Nitab4.5_0003294g0030,Nitab4.5_0003294g0030,Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24
2.824622393,0.000223982,0.001929104,Nitab4.5_0002773g0080,Nitab4.5_0002773g0080,Nitab4.5_0002773g0080,Thioredoxin-like fold
2.801336765,2.18235E-09,1.11816E-05,Nitab4.5_0000305g0330,Nitab4.5_0000305g0330,Nitab4.5_0000305g0330,BAG domain
2.800935954,0.000196679,0.001766777,Nitab4.5_0004197g0020,Nitab4.5_0004197g0020,Nitab4.5_0004197g0020,Triacylglycerol lipase
2.792326689,2.64504E-05,0.000468341,Nitab4.5_0001799g0070,Nitab4.5_0001799g0070,Nitab4.5_0001799g0070,MATH
2.784148932,4.41428E-06,0.000164986,Nitab4.5_0003883g0030,Nitab4.5_0003883g0030,Nitab4.5_0003883g0030,Dehydrin
2.777758121,4.09151E-07,4.98447E-05,Nitab4.5_0001403g0020,Nitab4.5_0001403g0020,Nitab4.5_0001403g0020,BURP domain
2.775895119,4.55222E-09,1.11816E-05,Nitab4.5_0000987g0050,Nitab4.5_0000987g0050,Nitab4.5_0000987g0050,Aspartate/glutamate/uridylate kinase
2.767919064,1.30211E-05,0.000309051,Nitab4.5_0001788g0010,Nitab4.5_0001788g0010,Nitab4.5_0001788g0010,Glutathione S-transferase
2.745432854,7.00659E-08,2.4018E-05,Nitab4.5_0000008g0240,Nitab4.5_0000008g0240,Nitab4.5_0000008g0240,Alpha crystallin/Hsp20 domain
2.745405376,0.004685806,0.018969131,Nitab4.5_0006354g0070,Nitab4.5_0006354g0070,Nitab4.5_0006354g0070,Unknown
2.731680632,1.09663E-05,0.000279967,Nitab4.5_0000037g0310,Nitab4.5_0000037g0310,Nitab4.5_0000037g0310,Glycine rich protein
2.730771065,2.70527E-09,1.11816E-05,Nitab4.5_0000305g0340,Nitab4.5_0000305g0340,Nitab4.5_0000305g0340,Unknown
2.729322672,1.37816E-05,0.000320568,Nitab4.5_0000457g0360,Nitab4.5_0000457g0360,Nitab4.5_0000457g0360,EF-hand domain
2.70740521,9.03661E-06,0.000253811,Nitab4.5_0000410g0310,Nitab4.5_0000410g0310,Nitab4.5_0000410g0310,Oxoglutarate/iron-dependent dioxygenase
2.70567286,6.2614E-07,6.22966E-05,Nitab4.5_0001180g0150,Nitab4.5_0001180g0150,Nitab4.5_0001180g0150,Pyridoxal phosphate-dependent decarboxylase
2.705034494,2.04941E-05,0.000403286,Nitab4.5_0003141g0010,Nitab4.5_0003141g0010,Nitab4.5_0003141g0010,Unknown
2.698958874,3.26082E-08,1.89871E-05,Nitab4.5_0000541g0090,Nitab4.5_0000541g0090,Nitab4.5_0000541g0090,Protein notum homologue
2.698792458,7.82685E-07,6.78512E-05,Nitab4.5_0001856g0070,Nitab4.5_0001856g0070,Nitab4.5_0001856g0070,Thiolase-like
2.698231578,0.000284878,0.002288058,Nitab4.5_0001204g0100,Nitab4.5_0001204g0100,Nitab4.5_0001204g0100,NAC domain
2.682363272,0.002586539,0.011911225,Nitab4.5_0000082g0020,Nitab4.5_0000082g0020,Nitab4.5_0000082g0020,CCAAT-binding transcription factor
2.666188717,4.76034E-08,2.22477E-05,Nitab4.5_0000250g0250,Nitab4.5_0000250g0250,Nitab4.5_0000250g0250,BURP domain
2.650981903,0.001056496,0.006011803,Nitab4.5_0000933g0030,Nitab4.5_0000933g0030,Nitab4.5_0000933g0030,HSP20-like chaperone
2.647695303,1.05845E-05,0.000275412,Nitab4.5_0000080g0160,Nitab4.5_0000080g0160,Nitab4.5_0000080g0160,C2 domain
2.642424345,1.59205E-05,0.000347559,Nitab4.5_0001529g0020,Nitab4.5_0001529g0020,Nitab4.5_0001529g0020,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
2.630139589,0.003552307,0.015235403,Nitab4.5_0000508g0230,Nitab4.5_0000508g0230,Nitab4.5_0000508g0230,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
2.588597775,0.001125636,0.00629431,Nitab4.5_0000356g0010,Nitab4.5_0000356g0010,Nitab4.5_0000356g0010,Glutathione S-transferase
2.578299284,0.000252608,0.002097826,Nitab4.5_0004152g0020,Nitab4.5_0004152g0020,Nitab4.5_0004152g0020,Unknown
2.555643201,7.52073E-06,0.000228199,Nitab4.5_0001087g0030,Nitab4.5_0001087g0030,Nitab4.5_0001087g0030,Unknown
2.554271698,8.92962E-05,0.001026112,Nitab4.5_0000354g0110,Nitab4.5_0000354g0110,Nitab4.5_0000354g0110,Bet v I domain
2.550067902,4.3583E-07,5.04242E-05,Nitab4.5_0001711g0040,Nitab4.5_0001711g0040,Nitab4.5_0001711g0040,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
2.548388481,6.05429E-07,6.12482E-05,Nitab4.5_0000923g0100,Nitab4.5_0000923g0100,Nitab4.5_0000923g0100,Glutathione S-transferase
2.548119068,3.54329E-06,0.000146484,Nitab4.5_0000848g0010,Nitab4.5_0000848g0010,Nitab4.5_0000848g0010,Thioredoxin-like fold
2.544857129,0.000134916,0.001357917,Nitab4.5_0000608g0070,Nitab4.5_0000608g0070,Nitab4.5_0000608g0070,CCAAT-binding transcription factor
2.535757303,0.017028318,0.053681443,Nitab4.5_0000786g0240,Nitab4.5_0000786g0240,Nitab4.5_0000786g0240,Phosphate-induced protein 1
2.518134505,0.001846526,0.009181961,Nitab4.5_0003494g0020,Nitab4.5_0003494g0020,Nitab4.5_0003494g0020,Lateral organ boundaries
2.517710447,8.36555E-06,0.000243543,Nitab4.5_0001811g0030,Nitab4.5_0001811g0030,Nitab4.5_0001811g0030,NAC domain
2.516022205,6.43823E-08,2.37757E-05,Nitab4.5_0000073g0350,Nitab4.5_0000073g0350,Nitab4.5_0000073g0350,Alpha crystallin/Hsp20 domain
2.512363911,8.80237E-07,7.13816E-05,Nitab4.5_0002443g0040,Nitab4.5_0002443g0040,Nitab4.5_0002443g0040,Alpha crystallin/Hsp20 domain
2.501230001,0.013037813,0.043134321,Nitab4.5_0000249g0470,Nitab4.5_0000249g0470,Nitab4.5_0000249g0470,Domain of unknown function DUF125
2.500935078,5.97129E-07,6.07495E-05,Nitab4.5_0001823g0050,Nitab4.5_0001823g0050,Nitab4.5_0001823g0050,Unknown
2.498988152,0.000710467,0.004467175,Nitab4.5_0001418g0040,Nitab4.5_0001418g0040,Nitab4.5_0001418g0040,Unknown
2.498971701,0.000203403,0.001808374,Nitab4.5_0000539g0120,Nitab4.5_0000539g0120,Nitab4.5_0000539g0120,Phosphatidylethanolamine-binding protein PEBP
2.498045683,1.61603E-05,0.000350425,Nitab4.5_0007202g0010,Nitab4.5_0007202g0010,Nitab4.5_0007202g0010,P-loop containing nucleoside triphosphate hydrolase
2.474348307,3.53265E-06,0.000146243,Nitab4.5_0000986g0090,Nitab4.5_0000986g0090,Nitab4.5_0000986g0090,Protein of unknown function DUF1218
2.472631693,1.37893E-07,3.33186E-05,Nitab4.5_0000014g0100,Nitab4.5_0000014g0100,Nitab4.5_0000014g0100,NAC domain
2.465176344,7.6761E-05,0.000921605,Nitab4.5_0002046g0110,Nitab4.5_0002046g0110,Nitab4.5_0002046g0110,Unknown
2.456839085,1.08688E-07,3.03976E-05,Nitab4.5_0001079g0120,Nitab4.5_0001079g0120,Nitab4.5_0001079g0120,Unknown
2.453846455,0.003876778,0.016340251,Nitab4.5_0000140g0110,Nitab4.5_0000140g0110,Nitab4.5_0000140g0110,Staygreen protein
2.448839307,0.002126581,0.010228033,Nitab4.5_0000781g0050,Nitab4.5_0000781g0050,Nitab4.5_0000781g0050,Uncharacterised domain Wax2
2.448502064,2.24681E-07,3.94168E-05,Nitab4.5_0003511g0020,Nitab4.5_0003511g0020,Nitab4.5_0003511g0020,Protein notum homologue
2.445127487,0.00238564,0.011203961,Nitab4.5_0000073g0290,Nitab4.5_0000073g0290,Nitab4.5_0000073g0290,Like-Sm (LSM) domain
2.444900036,1.39268E-08,1.32291E-05,Nitab4.5_0000820g0050,Nitab4.5_0000820g0050,Nitab4.5_0000820g0050,Aldehyde dehydrogenase
2.436454952,4.7729E-05,0.000678386,Nitab4.5_0000108g0050,Nitab4.5_0000108g0050,Nitab4.5_0000108g0050,P-loop containing nucleoside triphosphate hydrolase
2.419245005,0.001501637,0.007839014,Nitab4.5_0002700g0160,Nitab4.5_0002700g0160,Nitab4.5_0002700g0160,Unknown
2.399078369,5.54547E-08,2.31723E-05,Nitab4.5_0000986g0060,Nitab4.5_0000986g0060,Nitab4.5_0000986g0060,Uncharacterised protein family UPF0114
2.389940977,0.000103992,0.001132927,Nitab4.5_0005592g0010,Nitab4.5_0005592g0010,Nitab4.5_0005592g0010,Ribonuclease T2-like
2.381353378,1.32231E-08,1.32291E-05,Nitab4.5_0001256g0050,Nitab4.5_0001256g0050,Nitab4.5_0001256g0050,Transferase
2.377815127,0.000120421,0.001255053,Nitab4.5_0001365g0080,Nitab4.5_0001365g0080,Nitab4.5_0001365g0080,Amino acid transporter
2.377791405,0.000338211,0.002587872,Nitab4.5_0000062g0550,Nitab4.5_0000062g0550,Nitab4.5_0000062g0550,Unknown
2.343274117,1.00043E-07,2.93672E-05,Nitab4.5_0000129g0020,Nitab4.5_0000129g0020,Nitab4.5_0000129g0020,Pyruvate kinase-like
2.342025757,1.91364E-05,0.000387296,Nitab4.5_0009514g0070,Nitab4.5_0009514g0070,Nitab4.5_0009514g0070,Protein of unknown function DUF597
2.333223343,0.000137374,0.001375638,Nitab4.5_0000508g0190,Nitab4.5_0000508g0190,Nitab4.5_0000508g0190,Unknown
2.328722477,0.001555073,0.008031795,Nitab4.5_0000245g0270,Nitab4.5_0000245g0270,Nitab4.5_0000245g0270,Signal transduction histidine kinase
2.32012064,0.000167323,0.001578929,Nitab4.5_0002305g0060,Nitab4.5_0002305g0060,Nitab4.5_0002305g0060,Unknown
2.314063951,4.51688E-05,0.000655908,Nitab4.5_0000184g0280,Nitab4.5_0000184g0280,Nitab4.5_0000184g0280,DNA-binding WRKY
2.300973117,0.010115468,0.035020957,Nitab4.5_0004646g0080,Nitab4.5_0004646g0080,Nitab4.5_0004646g0080,Unknown
2.295953035,0.000829106,0.005021145,Nitab4.5_0001959g0040,Nitab4.5_0001959g0040,Nitab4.5_0001959g0040,Six-hairpin glycosidase
2.289869308,5.616E-07,5.9723E-05,Nitab4.5_0001936g0080,Nitab4.5_0001936g0080,Nitab4.5_0001936g0080,Like-Sm (LSM) domain
2.286724091,4.01168E-05,0.000608676,Nitab4.5_0000175g0360,Nitab4.5_0000175g0360,Nitab4.5_0000175g0360,Methyltransferase domain
2.256489754,1.05629E-06,7.84905E-05,Nitab4.5_0006444g0020,Nitab4.5_0006444g0020,Nitab4.5_0006444g0020,Phloem protein 2-like
2.253269315,1.56209E-06,9.68306E-05,Nitab4.5_0001458g0060,Nitab4.5_0001458g0060,Nitab4.5_0001458g0060,UDP-glucuronosyl/UDP-glucosyltransferase
2.243354619,0.009739712,0.033926138,Nitab4.5_0000818g0180,Nitab4.5_0000818g0180,Nitab4.5_0000818g0180,Glutaredoxin
2.239301682,7.03251E-08,2.4018E-05,Nitab4.5_0001645g0090,Nitab4.5_0001645g0090,Nitab4.5_0001645g0090,EF-Hand 1
2.238353968,6.8649E-05,0.00086252,Nitab4.5_0002193g0010,Nitab4.5_0002193g0010,Nitab4.5_0002193g0010,RNA recognition motif domain
2.237793803,9.67366E-06,0.000262981,Nitab4.5_0002700g0150,Nitab4.5_0002700g0150,Nitab4.5_0002700g0150,Heat shock protein 70
2.237010479,1.21783E-07,3.18773E-05,Nitab4.5_0002796g0050,Nitab4.5_0002796g0050,Nitab4.5_0002796g0050,Peptidase S10
2.236448407,0.000122047,0.001267292,Nitab4.5_0000278g0030,Nitab4.5_0000278g0030,Nitab4.5_0000278g0030,HSP20-like chaperone
2.235811234,4.50706E-09,1.11816E-05,Nitab4.5_0002769g0040,Nitab4.5_0002769g0040,Nitab4.5_0002769g0040,Unknown
2.228364944,8.17755E-07,6.8829E-05,Nitab4.5_0000498g0070,Nitab4.5_0000498g0070,Nitab4.5_0000498g0070,Unknown
2.227626324,1.78557E-08,1.47736E-05,Nitab4.5_0001309g0110,Nitab4.5_0001309g0110,Nitab4.5_0001309g0110,Proton-dependent oligopeptide transporter family
2.227249324,6.6085E-06,0.000212039,Nitab4.5_0000883g0140,Nitab4.5_0000883g0140,Nitab4.5_0000883g0140,Cytochrome P450
2.221047401,0.004480816,0.018318842,Nitab4.5_0001707g0060,Nitab4.5_0001707g0060,Nitab4.5_0001707g0060,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
2.21881032,0.015736978,0.050302531,Nitab4.5_0001402g0090,Nitab4.5_0001402g0090,Nitab4.5_0001402g0090,TB2/DP1/HVA22-related protein
2.203437328,0.001971491,0.00963017,Nitab4.5_0001701g0080,Nitab4.5_0001701g0080,Nitab4.5_0001701g0080,Unknown
2.2004807,0.000229442,0.001958555,Nitab4.5_0002102g0010,Nitab4.5_0002102g0010,Nitab4.5_0002102g0010,Unknown
2.198309183,7.37312E-08,2.47062E-05,Nitab4.5_0000654g0010,Nitab4.5_0000654g0010,Nitab4.5_0000654g0010,RNA-dependent RNA polymerase
2.18077755,2.34281E-09,1.11816E-05,Nitab4.5_0004605g0080,Nitab4.5_0004605g0080,Nitab4.5_0004605g0080,Homeobox
2.165329695,1.80738E-06,0.000103543,Nitab4.5_0000280g0230,Nitab4.5_0000280g0230,Nitab4.5_0000280g0230,P-loop containing nucleoside triphosphate hydrolase
2.161882639,8.64166E-05,0.001002427,Nitab4.5_0002887g0100,Nitab4.5_0002887g0100,Nitab4.5_0002887g0100,Unknown
2.160677671,7.31623E-07,6.57205E-05,Nitab4.5_0001585g0070,Nitab4.5_0001585g0070,Nitab4.5_0001585g0070,UDP-glucuronosyl/UDP-glucosyltransferase
2.159435034,7.17998E-06,0.000223214,Nitab4.5_0000467g0090,Nitab4.5_0000467g0090,Nitab4.5_0000467g0090,Amino acid transporter
2.156609535,1.632E-06,9.83582E-05,Nitab4.5_0000014g0430,Nitab4.5_0000014g0430,Nitab4.5_0000014g0430,Plant lipid transfer protein/Par allergen
2.15652132,6.64574E-06,0.00021285,Nitab4.5_0001650g0030,Nitab4.5_0001650g0030,Nitab4.5_0001650g0030,Aspartic peptidase domain
2.153247356,1.27013E-05,0.000304117,Nitab4.5_0000256g0130,Nitab4.5_0000256g0130,Nitab4.5_0000256g0130,NAD(P)-binding domain
2.149620295,4.35416E-07,5.04242E-05,Nitab4.5_0000759g0040,Nitab4.5_0000759g0040,Nitab4.5_0000759g0040,Unknown
2.14949131,4.20168E-09,1.11816E-05,Nitab4.5_0000037g0320,Nitab4.5_0000037g0320,Nitab4.5_0000037g0320,Unknown
2.149289846,0.000123119,0.001274576,Nitab4.5_0000119g0360,Nitab4.5_0000119g0360,Nitab4.5_0000119g0360,Sphingomyelin synthase-like domain
2.147053719,0.033976415,0.094725925,Nitab4.5_0001210g0040,Nitab4.5_0001210g0040,Nitab4.5_0001210g0040,Unknown
2.143832445,0.006906901,0.025870107,Nitab4.5_0002995g0020,Nitab4.5_0002995g0020,Nitab4.5_0002995g0020,Conserved hypothetical protein CHP01589
