Log-ratio,p-value,minFDR,Glyma Wm82.a2.v1,Gene,Measure,Description
4.399138808,0.00138094,0.015060013,Glyma.13G370100,Glyma.13G370100,Glyma.13G370100.Wm82.a2.v1,WRKY DNA-binding protein 40
4.38774097,9.0703E-06,0.000845817,Glyma.03G001500,Glyma.03G001500,Glyma.03G001500.Wm82.a2.v1,"HAD superfamily, subfamily IIIB acid phosphatase"
4.345838428,0.000196153,0.00440693,Glyma.18G026900,Glyma.18G026900,Glyma.18G026900.Wm82.a2.v1,CRINKLY4 related 3
4.318034939,0.006098307,0.040687325,Glyma.19G181700,Glyma.19G181700,Glyma.19G181700.Wm82.a2.v1,unknown
4.314808607,1.34748E-06,0.000396087,Glyma.03G120700,Glyma.03G120700,Glyma.03G120700.Wm82.a2.v1,calmodulin (CAM)-binding protein of 25 kDa
4.309970856,6.31591E-06,0.000727376,Glyma.11G208700,Glyma.11G208700,Glyma.11G208700.Wm82.a2.v1,oxidative stress 3
4.30524981,0.000331415,0.006031559,Glyma.03G201000,Glyma.03G201000,Glyma.03G201000.Wm82.a2.v1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
4.292031407,1.30506E-05,0.001010339,Glyma.07G190700,Glyma.07G190700,Glyma.07G190700.Wm82.a2.v1,Calmodulin-binding protein
4.233331561,0.001118516,0.013133482,Glyma.06G135900,Glyma.06G135900,Glyma.06G135900.Wm82.a2.v1,uncharacterized LOC100802275
4.232879996,6.01817E-06,0.000720672,Glyma.14G162100,Glyma.14G162100,Glyma.14G162100.Wm82.a2.v1,highly ABA-induced PP2C gene 3
4.231593013,0.000963618,0.012006265,Glyma.10G079700,Glyma.10G079700,Glyma.10G079700.Wm82.a2.v1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
4.222685397,0.00041339,0.006957366,Glyma.02G309000,Glyma.02G309000,Glyma.02G309000.Wm82.a2.v1,uncharacterized LOC100806244
4.222509027,1.13631E-05,0.000929681,Glyma.17G090900,Glyma.17G090900,Glyma.17G090900.Wm82.a2.v1,ARM repeat superfamily protein
4.191960573,7.64352E-06,0.000788901,Glyma.04G075800,Glyma.04G075800,Glyma.04G075800.Wm82.a2.v1,uncharacterized LOC100787739
4.162235498,1.85389E-05,0.001169904,Glyma.10G002200,Glyma.10G002200,Glyma.10G002200.Wm82.a2.v1,calmodulin-like 11
4.158726573,0.000551545,0.008347492,Glyma.12G049300,Glyma.12G049300,Glyma.12G049300.Wm82.a2.v1,uncharacterized LOC100526891
4.138406038,0.003968149,0.03051049,Glyma.01G204400,Glyma.01G204400,Glyma.01G204400.Wm82.a2.v1,TIFY domain/Divergent CCT motif family protein
4.133705616,1.19772E-06,0.000388007,Glyma.13G267000,Glyma.13G267000,Glyma.13G267000.Wm82.a2.v1,unknown
4.100463778,3.79664E-07,0.000262053,Glyma.04G054400,Glyma.04G054400,Glyma.04G054400.Wm82.a2.v1,17.6 kDa class II heat shock protein
4.076333821,2.07465E-06,0.0004472,Glyma.09G027900,Glyma.09G027900,Glyma.09G027900.Wm82.a2.v1,Wall-associated kinase family protein
4.05816865,0.00416919,0.031503046,Glyma.06G258000,Glyma.06G258000,Glyma.06G258000.Wm82.a2.v1,Calcium-binding EF-hand family protein
4.051093817,1.77128E-05,0.001143658,Glyma.08G260500,Glyma.08G260500,Glyma.08G260500.Wm82.a2.v1,Regulator of Vps4 activity in the MVB pathway protein
4.047998369,0.000398357,0.00677382,Glyma.05G175800,Glyma.05G175800,Glyma.05G175800.Wm82.a2.v1,uncharacterized LOC100787601
4.033975124,2.9122E-08,0.00011658,Glyma.16G178000,Glyma.16G178000,Glyma.16G178000.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
4.03061986,9.52448E-06,0.000861537,Glyma.05G059300,Glyma.05G059300,Glyma.05G059300.Wm82.a2.v1,Nucleotide-diphospho-sugar transferases superfamily protein
4.028307557,0.00025054,0.005102201,Glyma.01G006000,Glyma.01G006000,Glyma.01G006000.Wm82.a2.v1,oxidative stress 3
3.989258707,0.002425713,0.021900078,Glyma.07G076600,Glyma.07G076600,Glyma.07G076600.Wm82.a2.v1,BON association protein 2
3.961059809,0.002705872,0.023578173,Glyma.13G279900,Glyma.13G279900,Glyma.13G279900.Wm82.a2.v1,NAC domain containing protein 3
3.957350016,7.13775E-06,0.000769682,Glyma.19G258800,Glyma.19G258800,Glyma.19G258800.Wm82.a2.v1,SAUR-like auxin-responsive protein family
3.931852818,0.000187187,0.004283096,Glyma.08G106900,Glyma.08G106900,Glyma.08G106900.Wm82.a2.v1,unknown
3.913463354,4.79109E-06,0.000653065,Glyma.20G066100,Glyma.20G066100,Glyma.20G066100.Wm82.a2.v1,DCD (Development and Cell Death) domain protein
3.893953681,8.31754E-08,0.000182069,Glyma.10G178400,Glyma.10G178400,Glyma.10G178400.Wm82.a2.v1,calmodulin-like 11
3.890407145,0.002780601,0.023993222,Glyma.02G128800,Glyma.02G128800,Glyma.02G128800.Wm82.a2.v1,Protein of unknown function (DUF1262)
3.883196831,0.001900237,0.018657474,Glyma.09G163900,Glyma.09G163900,Glyma.09G163900.Wm82.a2.v1,Kunitz family trypsin and protease inhibitor protein
3.877877712,0.001378481,0.015041046,Glyma.09G071600,Glyma.09G071600,Glyma.09G071600.Wm82.a2.v1,jasmonate-zim-domain protein 1
3.87255013,8.88936E-07,0.00034123,Glyma.20G211700,Glyma.20G211700,Glyma.20G211700.Wm82.a2.v1,calmodulin-like 11
3.860421002,3.83419E-07,0.000262053,Glyma.09G131500,Glyma.09G131500,Glyma.09G131500.Wm82.a2.v1,heat shock protein 90.1
3.855387688,9.37746E-05,0.002871859,Glyma.11G048300,Glyma.11G048300,Glyma.11G048300.Wm82.a2.v1,calcium ATPase 2
3.846871138,2.31621E-06,0.000462711,Glyma.13G065300,Glyma.13G065300,Glyma.13G065300.Wm82.a2.v1,uncharacterized LOC100789744
3.841215745,1.65334E-05,0.001117079,Glyma.11G182000,Glyma.11G182000,Glyma.11G182000.Wm82.a2.v1,NAC domain containing protein 90
3.807310343,1.68906E-06,0.000414838,Glyma.19G113400,Glyma.19G113400,Glyma.19G113400.Wm82.a2.v1,myb-like protein X
3.794527054,2.76751E-06,0.000518738,Glyma.17G112900,Glyma.17G112900,Glyma.17G112900.Wm82.a2.v1,Cupredoxin superfamily protein
3.793214321,5.74447E-07,0.000306827,Glyma.09G168300,Glyma.09G168300,Glyma.09G168300.Wm82.a2.v1,beta-amylase 1
3.788820952,8.74615E-06,0.000837435,Glyma.12G002400,Glyma.12G002400,Glyma.12G002400.Wm82.a2.v1,CRINKLY4 related 4
3.787252069,2.18899E-05,0.001298325,Glyma.08G077400,Glyma.08G077400,Glyma.08G077400.Wm82.a2.v1,G-box binding factor 4
3.783156633,1.00762E-06,0.000360435,Glyma.01G129100,Glyma.01G129100,Glyma.01G129100.Wm82.a2.v1,Protein of unknown function (DUF567)
3.774731874,1.01954E-06,0.000360435,Glyma.16G039800,Glyma.16G039800,Glyma.16G039800.Wm82.a2.v1,myb-like protein X
3.770093203,8.84864E-07,0.00034123,Glyma.13G158200,Glyma.13G158200,Glyma.13G158200.Wm82.a2.v1,copper ion binding;electron carriers
3.752563655,5.62437E-07,0.000306827,Glyma.17G214700,Glyma.17G214700,Glyma.17G214700.Wm82.a2.v1,Protein kinase superfamily protein
3.745319366,1.25045E-08,9.06917E-05,Glyma.09G130400,Glyma.09G130400,Glyma.09G130400.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
3.735968471,0.00791891,0.048807585,Glyma.04G153400,Glyma.04G153400,Glyma.04G153400.Wm82.a2.v1,RING/U-box superfamily protein
3.710514426,2.25462E-06,0.000457819,Glyma.01G166100,Glyma.01G166100,Glyma.01G166100.Wm82.a2.v1,calcium-dependent protein kinase 16
3.6902318,1.64661E-06,0.000413823,Glyma.08G021900,Glyma.08G021900,Glyma.08G021900.Wm82.a2.v1,WRKY family transcription factor
3.686603844,0.000111459,0.003153255,Glyma.07G139700,Glyma.07G139700,Glyma.07G139700.Wm82.a2.v1,glutathione S-transferase TAU 8
3.684347272,0.003201388,0.026311361,Glyma.12G167400,Glyma.12G167400,Glyma.12G167400.Wm82.a2.v1,Lactoylglutathione lyase / glyoxalase I family protein
3.67283541,0.000220417,0.004709446,Glyma.08G109500,Glyma.08G109500,Glyma.08G109500.Wm82.a2.v1,Chalcone and stilbene synthase family protein
3.669144154,2.49736E-06,0.000483023,Glyma.17G224300,Glyma.17G224300,Glyma.17G224300.Wm82.a2.v1,Concanavalin A-like lectin protein kinase family protein
3.654402435,4.63606E-06,0.000641539,Glyma.09G253200,Glyma.09G253200,Glyma.09G253200.Wm82.a2.v1,wall associated kinase-like 2
3.633254051,8.05768E-06,0.000799265,Glyma.11G081000,Glyma.11G081000,Glyma.11G081000.Wm82.a2.v1,uncharacterized LOC100500650
3.625263676,0.00067929,0.009603963,Glyma.09G181700,Glyma.09G181700,Glyma.09G181700.Wm82.a2.v1,Protein kinase superfamily protein
3.622956991,1.09832E-06,0.000369937,Glyma.05G215900,Glyma.05G215900,Glyma.05G215900.Wm82.a2.v1,WRKY family transcription factor
3.615948737,0.001581273,0.016441715,Glyma.03G042700,Glyma.03G042700,Glyma.03G042700.Wm82.a2.v1,WRKY DNA-binding protein 33
3.615655303,0.000570125,0.008554779,Glyma.08G058900,Glyma.08G058900,Glyma.08G058900.Wm82.a2.v1,F-box family protein
3.615414858,0.000263735,0.005279342,Glyma.11G051300,Glyma.11G051300,Glyma.11G051300.Wm82.a2.v1,arabinogalactan protein  18
3.606277399,0.000106858,0.003081013,Glyma.10G253100,Glyma.10G253100,Glyma.10G253100.Wm82.a2.v1,cysteine-rich RLK (RECEPTOR-like protein kinase) 26
3.601031303,0.000734361,0.010072551,Glyma.03G016400,Glyma.03G016400,Glyma.03G016400.Wm82.a2.v1,BON association protein 2
3.59846735,2.57196E-09,9.06917E-05,Glyma.16G177900,Glyma.16G177900,Glyma.16G177900.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
3.579999328,0.000267292,0.005316571,Glyma.01G222600,Glyma.01G222600,Glyma.01G222600.Wm82.a2.v1,Protein of unknown function (DUF567)
3.577590466,0.009604953,0.055753492,Glyma.11G121900,Glyma.11G121900,Glyma.11G121900.Wm82.a2.v1,uncharacterized LOC100527018
3.573136687,2.78275E-06,0.000519855,Glyma.05G216900,Glyma.05G216900,Glyma.05G216900.Wm82.a2.v1,uncharacterized LOC102662341
3.571306705,4.78052E-05,0.001974275,Glyma.14G002800,Glyma.14G002800,Glyma.14G002800.Wm82.a2.v1,VQ motif-containing protein
3.564666629,0.000198122,0.004431458,Glyma.05G187200,Glyma.05G187200,Glyma.05G187200.Wm82.a2.v1,unknown
3.560852885,0.000806298,0.01073098,Glyma.04G178500,Glyma.04G178500,Glyma.04G178500.Wm82.a2.v1,uncharacterized LOC100527101
3.557487085,3.21287E-05,0.001589249,Glyma.12G231300,Glyma.12G231300,Glyma.12G231300.Wm82.a2.v1,unkonwn 
3.555638909,1.03751E-05,0.000893185,Glyma.14G003800,Glyma.14G003800,Glyma.14G003800.Wm82.a2.v1,cilia- and flagella-associated protein 251
3.549741507,1.60754E-05,0.001110359,Glyma.11G198300,Glyma.11G198300,Glyma.11G198300.Wm82.a2.v1,AMP-dependent synthetase and ligase family protein
3.546279237,3.63606E-05,0.001705267,Glyma.10G164000,Glyma.10G164000,Glyma.10G164000.Wm82.a2.v1,unknown
3.542819738,3.59815E-07,0.000253013,Glyma.18G289100,Glyma.18G289100,Glyma.18G289100.Wm82.a2.v1,heat shock cognate protein 70-1
3.54252696,0.000634488,0.009164757,Glyma.13G085800,Glyma.13G085800,Glyma.13G085800.Wm82.a2.v1,uncharacterized LOC100500309
3.539822459,0.006754851,0.043739902,Glyma.20G125500,Glyma.20G125500,Glyma.20G125500.Wm82.a2.v1,uncharacterized LOC100795681
3.536151886,0.002121204,0.020054106,Glyma.11G124700,Glyma.11G124700,Glyma.11G124700.Wm82.a2.v1,uncharacterized LOC100500558
3.524427414,1.11896E-08,9.06917E-05,Glyma.13G138600,Glyma.13G138600,Glyma.13G138600.Wm82.a2.v1,ubiquitin 4
3.516860172,0.000969525,0.012045233,Glyma.20G062000,Glyma.20G062000,Glyma.20G062000.Wm82.a2.v1,nudix hydrolase homolog 2
3.505524993,1.09325E-05,0.000917221,Glyma.12G079500,Glyma.12G079500,Glyma.12G079500.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
3.498196125,4.10522E-06,0.000625198,Glyma.01G108700,Glyma.01G108700,Glyma.01G108700.Wm82.a2.v1,PAR1 protein
3.497312427,0.000107258,0.003082638,Glyma.07G052100,Glyma.07G052100,Glyma.07G052100.Wm82.a2.v1,homeobox 7
3.492744297,0.000356893,0.006312948,Glyma.06G144000,Glyma.06G144000,Glyma.06G144000.Wm82.a2.v1,unknown
3.488928057,0.007619789,0.047581441,Glyma.13G133000,Glyma.13G133000,Glyma.13G133000.Wm82.a2.v1,C2H2 and C2HC zinc fingers superfamily protein
3.485884368,8.3821E-05,0.002678449,Glyma.12G091200,Glyma.12G091200,Glyma.12G091200.Wm82.a2.v1,NAC domain containing protein 90
3.476536155,0.009923596,0.0570244,Glyma.12G221500,Glyma.12G221500,Glyma.12G221500.Wm82.a2.v1,unknown
3.473716021,9.26942E-07,0.000342636,Glyma.20G129900,Glyma.20G129900,Glyma.20G129900.Wm82.a2.v1,Plant basic secretory protein (BSP) family protein
3.472023517,0.000201945,0.004491202,Glyma.14G068400,Glyma.14G068400,Glyma.14G068400.Wm82.a2.v1,Calcium-dependent lipid-binding (CaLB domain) family protein
3.466422915,3.92296E-06,0.000617499,Glyma.16G105300,Glyma.16G105300,Glyma.16G105300.Wm82.a2.v1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
3.444118857,4.46873E-05,0.001899285,Glyma.19G018600,Glyma.19G018600,Glyma.19G018600.Wm82.a2.v1,AAA-ATPase 1
3.435088515,4.46424E-05,0.001899285,Glyma.11G143100,Glyma.11G143100,Glyma.11G143100.Wm82.a2.v1,tonoplast intrinsic protein 1;3
3.429656267,0.003018226,0.025394603,Glyma.14G195300,Glyma.14G195300,Glyma.14G195300.Wm82.a2.v1,mitogen-activated protein kinase kinase kinase 14
3.422724009,5.70866E-05,0.002160272,Glyma.18G061100,Glyma.18G061100,Glyma.18G061100.Wm82.a2.v1,glutamine-dependent asparagine synthase 1
3.416938305,0.001501064,0.015925396,Glyma.07G087200,Glyma.07G087200,Glyma.07G087200.Wm82.a2.v1,arabinogalactan protein 22
3.40208137,0.002552433,0.022634268,Glyma.06G248900,Glyma.06G248900,Glyma.06G248900.Wm82.a2.v1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
3.399420023,5.01247E-07,0.000303081,Glyma.15G157700,Glyma.15G157700,Glyma.15G157700.Wm82.a2.v1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
3.395449162,6.96273E-07,0.000308139,Glyma.17G214200,Glyma.17G214200,Glyma.17G214200.Wm82.a2.v1,Protein kinase superfamily protein
3.3943367,0.000110356,0.003133125,Glyma.19G254800,Glyma.19G254800,Glyma.19G254800.Wm82.a2.v1,WRKY family transcription factor
3.391474299,0.000115842,0.003226201,Glyma.18G068700,Glyma.18G068700,Glyma.18G068700.Wm82.a2.v1,unknown
3.39117682,1.35776E-06,0.000396325,Glyma.08G339000,Glyma.08G339000,Glyma.08G339000.Wm82.a2.v1,Phosphoglycerate mutase family protein
3.385641813,1.83961E-07,0.000198663,Glyma.05G178200,Glyma.05G178200,Glyma.05G178200.Wm82.a2.v1,signal responsive 1
3.382923841,5.11161E-05,0.002050573,Glyma.04G230400,Glyma.04G230400,Glyma.04G230400.Wm82.a2.v1,unknown
3.381078959,0.002271111,0.020989798,Glyma.14G212200,Glyma.14G212200,Glyma.14G212200.Wm82.a2.v1,"CYS, MET, PRO, and GLY protein 1"
3.370859861,0.001048142,0.012662657,Glyma.13G157400,Glyma.13G157400,Glyma.13G157400.Wm82.a2.v1,uncharacterized LOC100804202
3.369881868,1.54167E-06,0.000410474,Glyma.14G066400,Glyma.14G066400,Glyma.14G066400.Wm82.a2.v1,protein phosphatase 2CA
3.369737864,1.39957E-07,0.000198663,Glyma.20G213700,Glyma.20G213700,Glyma.20G213700.Wm82.a2.v1,O-methyltransferase family protein
3.364850432,7.24059E-05,0.002475849,Glyma.08G210100,Glyma.08G210100,Glyma.08G210100.Wm82.a2.v1,Late embryogenesis abundant protein (LEA) family protein
3.354679286,0.001451505,0.01556604,Glyma.07G133800,Glyma.07G133800,Glyma.07G133800.Wm82.a2.v1,unknown
3.354119062,5.0346E-05,0.002031781,Glyma.13G333100,Glyma.13G333100,Glyma.13G333100.Wm82.a2.v1,tonoplast intrinsic protein 1;3
3.349492729,0.000135189,0.003530547,Glyma.11G230300,Glyma.11G230300,Glyma.11G230300.Wm82.a2.v1,CRINKLY4 related 3
3.342586756,2.99782E-06,0.000540319,Glyma.10G169600,Glyma.10G169600,Glyma.10G169600.Wm82.a2.v1,phloem protein 2-B10
3.339798927,0.004251097,0.031912527,Glyma.03G181000,Glyma.03G181000,Glyma.03G181000.Wm82.a2.v1,unknown
3.32632494,1.89808E-06,0.000431925,Glyma.18G249100,Glyma.18G249100,Glyma.18G249100.Wm82.a2.v1,PRA1 (Prenylated rab acceptor) family protein
3.324306369,4.91787E-05,0.002004975,Glyma.05G149800,Glyma.05G149800,Glyma.05G149800.Wm82.a2.v1,PHYTOCYSTATIN 2
3.29931736,4.04467E-05,0.001798963,Glyma.13G047300,Glyma.13G047300,Glyma.13G047300.Wm82.a2.v1,allene oxide cyclase 3
3.298959494,0.006360875,0.041915211,Glyma.13G112000,Glyma.13G112000,Glyma.13G112000.Wm82.a2.v1,jasmonate-zim-domain protein 1
3.297513723,3.60017E-06,0.000597365,Glyma.15G272700,Glyma.15G272700,Glyma.15G272700.Wm82.a2.v1,unknown
3.296444625,4.7063E-05,0.001958272,Glyma.16G135200,Glyma.16G135200,Glyma.16G135200.Wm82.a2.v1,"disease resistance protein (TIR-NBS-LRR class), putative"
3.273558438,0.000354376,0.00628502,Glyma.08G177100,Glyma.08G177100,Glyma.08G177100.Wm82.a2.v1,classical arabinogalactan protein 1
3.271449685,0.006984342,0.044755371,Glyma.06G100900,Glyma.06G100900,Glyma.06G100900.Wm82.a2.v1,uncharacterized LOC100500381
3.26594279,0.000315918,0.005860747,Glyma.04G040300,Glyma.04G040300,Glyma.04G040300.Wm82.a2.v1,HXXXD-type acyl-transferase family protein
3.262668848,0.000160071,0.003915769,Glyma.01G224800,Glyma.01G224800,Glyma.01G224800.Wm82.a2.v1,WRKY family transcription factor
3.261126637,0.002836135,0.024296018,Glyma.19G198600,Glyma.19G198600,Glyma.19G198600.Wm82.a2.v1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
3.25968051,0.000361786,0.006362079,Glyma.09G042400,Glyma.09G042400,Glyma.09G042400.Wm82.a2.v1,TOXICOS EN LEVADURA 2
3.259140909,0.008914329,0.053058058,Glyma.06G291900,Glyma.06G291900,Glyma.06G291900.Wm82.a2.v1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
3.254438043,8.56191E-05,0.002718662,Glyma.06G260100,Glyma.06G260100,Glyma.06G260100.Wm82.a2.v1,Disease resistance protein (TIR-NBS-LRR class) family
3.253865361,2.46854E-05,0.001376588,Glyma.17G214100,Glyma.17G214100,Glyma.17G214100.Wm82.a2.v1,unknwon
3.239021383,3.07898E-06,0.000549549,Glyma.17G106500,Glyma.17G106500,Glyma.17G106500.Wm82.a2.v1,serine-rich protein-related
3.234237075,0.00107211,0.012833262,Glyma.12G046800,Glyma.12G046800,Glyma.12G046800.Wm82.a2.v1,uncharacterized LOC100789718
3.223290563,2.21084E-07,0.000210007,Glyma.07G095000,Glyma.07G095000,Glyma.07G095000.Wm82.a2.v1,Protein kinase superfamily protein
3.215469241,0.000523715,0.008088897,Glyma.02G255400,Glyma.02G255400,Glyma.02G255400.Wm82.a2.v1,ortholog of sugar beet HS1 PRO-1 2
3.201234818,7.932E-05,0.002601175,Glyma.08G044400,Glyma.08G044400,Glyma.08G044400.Wm82.a2.v1,Calmodulin binding protein-like
3.198699951,0.000126822,0.003399145,Glyma.08G142400,Glyma.08G142400,Glyma.08G142400.Wm82.a2.v1,WRKY DNA-binding protein 51
3.190460205,2.67353E-08,0.000115258,Glyma.06G238200,Glyma.06G238200,Glyma.06G238200.Wm82.a2.v1,Protein phosphatase 2C family protein
3.182403326,0.002164004,0.020362565,Glyma.13G227500,Glyma.13G227500,Glyma.13G227500.Wm82.a2.v1,uncharacterized LOC100804197
3.175528049,0.009691944,0.056101558,Glyma.06G157400,Glyma.06G157400,Glyma.06G157400.Wm82.a2.v1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
3.170511603,3.44794E-05,0.001648774,Glyma.02G274400,Glyma.02G274400,Glyma.02G274400.Wm82.a2.v1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
3.169408202,0.001165703,0.013461908,Glyma.04G040100,Glyma.04G040100,Glyma.04G040100.Wm82.a2.v1,unknown
3.168391705,6.43701E-06,0.000727376,Glyma.03G041000,Glyma.03G041000,Glyma.03G041000.Wm82.a2.v1,Protein of unknown function (DUF567)
3.166880131,4.46159E-06,0.000636671,Glyma.17G214500,Glyma.17G214500,Glyma.17G214500.Wm82.a2.v1,Protein kinase superfamily protein
3.165637493,9.16291E-08,0.000189497,Glyma.17G251200,Glyma.17G251200,Glyma.17G251200.Wm82.a2.v1,ARM repeat superfamily protein
3.164958954,5.26223E-06,0.000684913,Glyma.11G222600,Glyma.11G222600,Glyma.11G222600.Wm82.a2.v1,protein phosphatase 2CA
